GeneID uniprot
55808 Q9NSC7
10565 Q9Y6D6
85290 Q9BYR4
83446 Q6NSX1
92162 Q6PEY1
4147 O00339
124976 Q8IVW8
11281 P78424
27095 O43617
1465 P21291
11172 Q9Y581
28983 Q9UL52
88455 Q8IZ07
2781 P19086
7559 P17014
57030 Q9P2U7
129563 Q8IYB7
283849 Q86VI1
51559 Q86UY8
5018 Q15070
3106 Q31612
197407 Q96MX3
3430 P80217
1102 O95199
139760 Q8TDV5
1880 P32249
3251 P00492
55843 Q53QZ3
57568 Q9P2F8
22915 Q13201
100527978 S4R434
4705 O95299
80227 Q9BRP4
7932 O95918
5653 Q92876
100528030 F8VUJ3
9223 Q96QZ7
6625 P08621
1193 O15247
5046 P29122
25886 Q8NBT0
132112 P59025
645369 A6NKL6
23640 Q9NZL4
5968 P48304
10518 O75838
5984 P35249
160428 Q3SY69
84282 Q8IUD6
283417 Q6NUT2
6347 P13500
132884 Q86UK5
7433 P32241
6014 Q99578
10203 Q16602
83480 Q9BZE2
5680 Q9UQ72
408187 Q6IE38
10953 Q15785
51412 O94805
3798 Q12840
145581 Q96NI6
23416 Q9ULD8
149998 Q6XZB0
2241 P16591
3834 Q9UIL4
5967 P05451
57189 A4D1U4
84056 Q9BW62
153020 Q0VAM2
85439 Q8WXE9
153090 Q5VWQ8
8743 P50591
149076 Q5T0B9
140902 Q9H3Y0
326340 Q86SH2
2925 P30550
100142659 P0CG41
4314 P08254
6433 Q12872
121512 Q96M96
10098 P62079
84458 Q96JN0
53615 O95983
254950 Q3LI76
729238 Q8IWL1
64090 Q9H3Q3
3217 P09629
967 P08962
7168 P09493
23729 Q9UHJ6
9318 P61201
6103 Q92834
27180 Q9Y336
284207 Q641Q3
23369 Q8TB72
8439 Q92636
2253 P55075
7140 P45378
285313 Q6WRI0
9159 Q16549
3757 Q12809
386674 P60371
9928 Q15058
56901 Q9NRX3
57091 Q9NQ75
5829 P49023
152189 Q8IZV2
2487 Q92765
4670 P52272
5932 Q99708
10472 Q99592
